province_folder,year,ppt_annual,ppt_std,tmax_annual,tmax_max,tmin_annual,tmean_annual,province
aceh,2021,1086.2888257575758,71.14046891632066,28.807239459029436,34.0,20.36719513581089,24.58721729742016,Aceh
aceh,2022,1130.6917045454547,83.60169582022219,28.61962438913513,33.30000000000001,20.318888510057967,24.46925644959655,Aceh
aceh,2023,1076.7664772727273,76.88272640146553,28.97460222752586,35.0,20.55893567450847,24.766768951017163,Aceh
aceh,2024,1149.756351010101,99.88198336431641,29.44920445505171,34.80000000000001,20.991518922604847,25.220361688828277,Aceh
aceh,2025,1089.476212121212,113.36357259238228,28.99409307875895,33.80000000000001,20.418789066939425,24.706441072849188,Aceh
bali,2021,1102.49578125,127.87818706327583,29.727742946708467,33.900000000000006,20.44749216300941,25.087617554858937,Bali
bali,2022,1172.5720312500002,96.0628538355052,29.71376698014629,33.900000000000006,20.46154649947754,25.087656739811912,Bali
bali,2023,649.3564062500001,83.43933133440525,29.898197492163014,34.900000000000006,20.264942528735634,25.081570010449326,Bali
bali,2024,885.23171875,112.01294126174142,30.2208986415883,34.80000000000001,20.766457680250788,25.493678160919544,Bali
bali,2025,1136.63609375,88.15499741424583,29.654101358411708,34.099999999999994,20.572309299895508,25.113205329153608,Bali
banten,2021,1211.4970731707317,99.02943909004068,30.963773584905667,34.0,21.50608490566038,26.234929245283023,Banten
banten,2022,1430.5839837398375,86.09219588903213,30.82185534591195,33.5,21.414764150943398,26.118309748427674,Banten
banten,2023,796.0378048780489,112.3759534570183,31.198286163522013,36.0,21.430801886792455,26.314544025157232,Banten
banten,2024,1229.3831707317077,150.43290262499306,31.514874213836475,35.69999999999999,21.926918238993718,26.720896226415096,Banten
banten,2025,1462.2471544715447,83.28543572409183,31.116022012578615,33.900000000000006,21.677783018867927,26.39690251572327,Banten
bengkulu,2021,656.6181938409219,87.70887833908806,28.719993977717557,32.69999999999999,19.580216802168025,24.15010538994279,Bengkulu
bengkulu,2022,614.8990553561308,88.0403630188894,28.670423065341765,33.0,19.404682324601026,24.037552694971396,Bengkulu
bengkulu,2023,487.3708105044399,82.17412221155213,28.852454080096358,35.099999999999994,19.67871875940982,24.265586419753088,Bengkulu
